date,open,high,low,close,volume,amount,turnover
2025-03-10,3.47,3.53,3.46,3.48,19167300.0,66826465.0,0.013648103522948329
2025-03-11,3.46,3.51,3.41,3.49,17327131.0,60080921.0,0.012337808540779724
2025-03-12,3.49,3.51,3.46,3.47,18562400.0,64566495.0,0.013217383608248217
2025-03-13,3.47,3.47,3.35,3.39,30173231.0,102387293.0,0.021484892515369076
2025-03-14,3.37,3.45,3.37,3.45,25382700.0,86852543.0,0.018073788029192454
2025-03-17,3.45,3.51,3.45,3.49,21814554.0,76016315.0,0.015533084539760244
2025-03-18,3.49,3.51,3.46,3.5,19137831.0,66630111.0,0.013627120079129022
2025-03-19,3.5,3.5,3.43,3.46,18123465.0,62742013.0,0.012904839310415693
2025-03-20,3.45,3.52,3.43,3.51,26385671.0,92307275.0,0.018787954971772526
2025-03-21,3.49,3.57,3.47,3.5,34024600.0,119837349.0,0.02422726534915756
2025-03-24,3.48,3.51,3.32,3.36,35923293.0,121571368.0,0.025579232429669543
2025-03-25,3.36,3.42,3.34,3.4,21545300.0,73032125.0,0.01534136184193802
2025-03-26,3.38,3.47,3.37,3.44,21450700.0,73773999.0,0.015274001775926067
2025-03-27,3.43,3.43,3.35,3.39,17383923.0,58898455.0,0.012378247366032904
2025-03-28,3.38,3.41,3.34,3.36,15063393.0,50729525.0,0.010725910643171192
2025-03-31,3.34,3.4,3.3,3.38,19626470.0,65564583.0,0.013975056181623894
2025-04-01,3.38,3.46,3.38,3.45,23405009.0,80312551.0,0.016665570309200427
2025-04-02,3.46,3.5,3.42,3.49,20123600.0,69816413.0,0.014329038312876774
2025-04-03,3.47,3.62,3.46,3.56,41726813.0,148987376.0,0.0297116371897297
2025-04-07,3.45,3.45,2.97,3.1,52973593.0,170895546.0,0.037719923058883144
2025-04-08,3.14,3.29,3.13,3.2,34830474.0,111924237.0,0.024801089089509745
2025-04-09,3.16,3.3,3.02,3.28,30314600.0,96373055.0,0.021585554515073557
2025-04-10,3.31,3.45,3.31,3.35,33601823.0,113671222.0,0.023926226378456338
2025-04-11,3.32,3.42,3.3,3.38,21274506.0,71950102.0,0.015148542584901647
2025-04-14,3.4,3.45,3.35,3.39,21416322.0,72706661.0,0.015249522871598805
2025-04-15,3.37,3.4,3.32,3.37,16793900.0,56241562.0,0.011958120640572325
2025-04-16,3.35,3.36,3.25,3.29,15688204.0,51822519.0,0.011170808214048512
2025-04-17,3.28,3.35,3.26,3.3,13555821.0,44956306.0,0.009652441833046747
2025-04-18,3.29,3.31,3.25,3.29,10625884.0,34814244.0,0.007566175979654947
2025-04-21,3.28,3.63,3.26,3.5,49370326.0,171336314.0,0.03515421161090542
2025-04-22,3.48,3.54,3.43,3.5,35456349.0,123977493.0,0.02524674428311684
2025-04-23,3.49,3.52,3.45,3.46,21620000.0,75191379.0,0.01539455208433858
2025-04-24,3.46,3.49,3.4,3.45,17710800.0,61080736.0,0.012611000603853086
2025-04-25,3.45,3.49,3.43,3.43,15436044.0,53395552.0,0.01099125732350333
2025-04-28,3.43,3.44,3.32,3.32,19700723.0,66024389.0,0.014027928137031775
2025-04-29,3.48,3.83,3.47,3.73,102263254.0,376242176.0,0.07281669704056178
2025-04-30,3.71,3.74,3.64,3.66,51510915.0,189490422.0,0.03667842108600543
2025-05-06,3.69,3.84,3.67,3.82,51513504.0,194099941.0,0.03668026458717779
2025-05-07,3.84,3.89,3.77,3.8,38502256.0,146603474.0,0.027415586741745494
2025-05-08,3.78,3.8,3.75,3.77,25949544.0,97967875.0,0.01847741011437723
2025-05-09,3.76,3.78,3.72,3.76,21079850.0,78977972.0,0.01500993750023333
2025-05-12,3.78,3.79,3.73,3.77,21654068.0,81279547.0,0.015418810252720136
2025-05-13,3.8,3.83,3.74,3.76,21013466.0,79296310.0,0.01496266867758917
2025-05-14,3.75,3.8,3.72,3.78,18803654.0,70729498.0,0.013389168865813204
2025-05-15,3.76,3.8,3.74,3.76,17822438.0,67078530.0,0.012690492602261568
2025-05-16,3.74,3.82,3.74,3.79,19565239.0,74131063.0,0.013931456560038503
2025-05-19,3.78,3.91,3.77,3.91,36602482.0,141209945.0,0.026062849933629294
2025-05-20,3.91,3.91,3.82,3.84,27859596.0,107071942.0,0.01983746538717071
2025-05-21,3.84,3.84,3.76,3.78,22544547.0,85576100.0,0.016052877104963878
2025-05-22,3.77,3.8,3.73,3.75,15902700.0,59740061.0,0.011323540399241957
2025-05-23,3.75,3.77,3.68,3.68,19075365.0,71017875.0,0.013582641074018001
2025-05-26,3.7,3.72,3.67,3.71,12399400.0,45880663.0,0.008829010597342635
2025-05-27,3.7,3.73,3.66,3.72,14976900.0,55380158.0,0.010664323178165147
