date,open,high,low,close,volume
2025-10-29,5574.561,5707.172,5574.561,5707.172,1761747295
2025-10-30,5699.261,5703.118,5588.616,5592.984,1880836151
2025-10-31,5598.482,5664.129,5546.111,5548.367,1773408398
2025-11-03,5541.458,5558.312,5431.155,5543.818,1569127095
2025-11-04,5529.933,5533.914,5376.235,5416.739,1307597302
2025-11-05,5326.631,5497.5,5326.631,5473.879,1290625470
2025-11-06,5492.229,5567.708,5488.982,5557.2,1392104208
2025-11-07,5527.651,5574.453,5487.199,5530.883,1409008739
2025-11-10,5553.028,5581.322,5464.92,5500.83,1569568998
2025-11-11,5526.682,5549.207,5450.061,5457.101,1262766034
2025-11-12,5455.074,5473.062,5378.025,5409.161,1316307393
2025-11-13,5411.63,5556.103,5398.516,5531.752,1397088653
2025-11-14,5464.037,5489.339,5398.744,5398.744,1198990471
2025-11-17,5358.607,5376.37,5317.46,5345.854,1230874995
2025-11-18,5334.736,5362.051,5263.549,5290.343,1187186057
2025-11-19,5288.139,5332.307,5263.028,5282.076,1024320170
2025-11-20,5331.662,5335.641,5202.395,5207.883,999149828
2025-11-21,5138.649,5162.977,5055.189,5057.348,1392455354
2025-11-24,5091.059,5121.933,5047.318,5090.8,1233940522
2025-11-25,5133.522,5208.248,5112.834,5149.042,1333079429
2025-11-26,5145.983,5219.066,5126.434,5177.903,1318591626
2025-11-27,5182.558,5263.751,5166.671,5172.28,1168048985
2025-11-28,5178.066,5248.638,5161.43,5240.219,1108412635
2025-12-01,5248.04,5287.917,5208.912,5286.993,1353557099
2025-12-02,5277.438,5277.698,5216.712,5234.225,1153113879
2025-12-03,5245.838,5263.979,5182.064,5193.237,1134108107
2025-12-04,5205.099,5246.533,5169.13,5229.264,997397017
2025-12-05,5250.724,5313.62,5206.877,5307.715,1112023429
2025-12-08,5319.887,5410.479,5316.642,5387.217,1367926577
2025-12-09,5373.688,5402.234,5328.279,5345.866,1135601598
2025-12-10,5330.597,5356.623,5273.276,5340.656,1059945187
2025-12-11,5352.247,5399.101,5294.397,5294.397,1374060693
2025-12-12,5312.744,5381.767,5280.724,5368.659,1613639843
2025-12-15,5344.102,5355.844,5285.695,5285.695,1135728814
2025-12-16,5280.23,5294.885,5198.742,5220.014,1148406283
2025-12-17,5213.309,5317.92,5199.044,5303.078,1174278692
2025-12-18,5262.779,5291.227,5237.647,5237.647,977617460
2025-12-19,5253.994,5304.706,5248.939,5268.845,1002808299
2025-12-22,5287.522,5326.538,5284.61,5321.032,1197847018
2025-12-23,5322.089,5352.433,5296.324,5313.92,1106436392
2025-12-24,5305.392,5372.416,5296.755,5357.405,1215431644
2025-12-25,5355.385,5408.978,5341.484,5396.797,1367129515
2025-12-26,5400.574,5455.337,5390.325,5423.808,1445954048
2025-12-29,5425.305,5438.535,5394.17,5408.04,1585181490
2025-12-30,5391.479,5447.075,5391.441,5435.934,1726221405
2025-12-31,5439.88,5442.291,5385.538,5396.197,1626992340
2026-01-05,5420.666,5535.232,5419.542,5534.297,2045260128
2026-01-06,5546.773,5621.425,5534.682,5621.425,2037988899
2026-01-07,5610.448,5657.495,5578.373,5613.88,2012175197
2026-01-08,5599.547,5639.454,5582.436,5623.589,1821622206
2026-01-09,5619.73,5709.127,5619.622,5693.064,2262809672
2026-01-12,5719.936,5860.538,5688.082,5844.089,2935793711
2026-01-13,5859.986,5867.542,5729.832,5753.511,3593490107
2026-01-14,5755.28,5920.639,5721.841,5781.283,3621552220
2026-01-15,5746.09,5820.054,5737.159,5781.252,2483629315
2026-01-16,5818.076,5850.364,5754.528,5768.683,2520681860
2026-01-19,5763.702,5802.159,5722.577,5738.252,1917888358
2026-01-20,5751.883,5781.773,5629.841,5664.556,2013658239
2026-01-21,5641.264,5718.481,5630.484,5662.542,1709852430
2026-01-22,5691.223,5728.914,5633.186,5674.025,1773798852
2026-01-23,5701.721,5811.468,5700.684,5804.198,2224204341
2026-01-26,5822.746,5823.486,5668.778,5676.93,2170877688
2026-01-27,5671.17,5718.768,5590.367,5678.186,1794215499
2026-01-28,5689.134,5690.931,5596.34,5624.128,1868139511
2026-01-29,5608.879,5677.811,5578.261,5614.288,2094023045
2026-01-30,5602.406,5637.202,5495.375,5587.832,1906172743
2026-02-02,5604.313,5619.927,5472.421,5477.732,1651699923
2026-02-03,5537.642,5628.559,5519.105,5627.656,1702159990
2026-02-04,5618.514,5712.648,5605.477,5704.768,1704709093
2026-02-05,5643.273,5646.043,5563.597,5602.677,1396189553
2026-02-06,5549.324,5636.458,5521.173,5577.295,1407407259
2026-02-09,5653.712,5690.808,5623.37,5683.459,1619599926
2026-02-10,5674.628,5699.135,5665.624,5679.738,1588585055
2026-02-11,5667.853,5684.256,5637.118,5639.574,1352003864
2026-02-12,5645.864,5706.206,5636.105,5696.001,1308273307
2026-02-13,5670.358,5671.237,5581.784,5582.087,1154106919
2026-02-24,5677.886,5682.059,5599.791,5611.927,1262390429
2026-02-25,5625.105,5676.118,5604.422,5654.343,1348004854
2026-02-26,5646.288,5649.162,5592.335,5617.769,1475001015
2026-02-27,5586.825,5619.399,5571.039,5611.401,1307860531
2026-03-02,5533.387,5607.508,5502.513,5524.5,1671012198
2026-03-03,5550.838,5570.07,5363.324,5368.179,1794154582
2026-03-04,5314.12,5389.435,5291.353,5320.488,1159038706
2026-03-05,5424.208,5427.967,5337.072,5367.224,1181806557
2026-03-06,5343.708,5458.345,5340.087,5442.229,1110287537
2026-03-09,5364.724,5442.555,5300.662,5424.288,1508162371
2026-03-10,5508.637,5547.683,5500.908,5543.153,1321584742
2026-03-11,5550.552,5657.062,5548.738,5618.457,1467397080
2026-03-12,5626.129,5630.717,5562.672,5611.278,1681029923
2026-03-13,5590.734,5623.558,5552.341,5576.509,1430344971
2026-03-16,5587.443,5596.026,5520.279,5590.424,1201246778
2026-03-17,5609.249,5639.788,5512.486,5512.486,1133312809
2026-03-18,5526.6,5532.693,5445.595,5506.607,970171796
2026-03-19,5450.272,5493.557,5406.127,5421.469,1032871767
